trajectory_id,distance_geometry_1_1,distance_geometry_2_1,distance_geometry_2_2,distance_geometry_3_1,distance_geometry_3_2,distance_geometry_3_3,distance_geometry_4_1,distance_geometry_4_2,distance_geometry_4_3,distance_geometry_4_4,distance_geometry_5_1,distance_geometry_5_2,distance_geometry_5_3,distance_geometry_5_4,distance_geometry_5_5,angles_0s,angles_mean,angles_meanse,angles_quant_min,angles_quant_05,angles_quant_10,angles_quant_25,angles_quant_median,angles_quant_75,angles_quant_90,angles_quant_95,angles_quant_max,angles_range,angles_sd,angles_vcoef,angles_mad,angles_iqr,angles_skew,angles_kurt,speed_mean,speed_meanse,speed_quant_min,speed_quant_05,speed_quant_10,speed_quant_25,speed_quant_median,speed_quant_75,speed_quant_90,speed_quant_95,speed_quant_max,speed_range,speed_sd,speed_vcoef,speed_mad,speed_iqr,speed_skew,speed_kurt,acceleration_mean,acceleration_meanse,acceleration_quant_min,acceleration_quant_05,acceleration_quant_10,acceleration_quant_25,acceleration_quant_median,acceleration_quant_75,acceleration_quant_90,acceleration_quant_95,acceleration_quant_max,acceleration_range,acceleration_sd,acceleration_vcoef,acceleration_mad,acceleration_iqr,acceleration_skew,acceleration_kurt,duration_total_seconds,sampling_gap_mean_seconds,sampling_gap_sd_seconds,sampling_gap_cv,speed_mean_first_half,speed_mean_second_half,speed_mean_half_diff,acceleration_mean_first_half,acceleration_mean_second_half,acceleration_mean_half_diff,bbox_lat_span_deg,bbox_lon_span_deg,bbox_height_m,bbox_width_m,bbox_diagonal_m,bbox_area_km2,path_length_m,net_displacement_m,directness_ratio,mean_distance_to_centroid_m,median_distance_to_centroid_m,max_distance_to_centroid_m,radius_of_gyration_m,speed_progress_slope,acceleration_progress_slope,angle_progress_slope,relative_grid_unique_cells_3x3,relative_grid_entropy_3x3,relative_transition_entropy_3x3,relative_grid_revisit_ratio_3x3
2579,medium,medium,low,medium,high,low,high,high,medium,low,high,low,medium,medium,low,high,high,high,low,low,low,low,medium,medium,high,high,high,high,high,high,high,medium,high,high,low,medium,low,low,low,low,medium,medium,medium,low,low,medium,medium,medium,medium,medium,low,medium,low,medium,high,high,high,medium,low,low,low,low,high,medium,medium,high,low,low,high,high,medium,medium,low,low,medium,low,low,high,low,low,high,medium,high,medium,medium,medium,medium,medium,medium,medium,high,medium,medium,low,low,high,low,low,low,medium
2580,medium,low,low,low,high,low,low,high,medium,low,low,high,high,medium,low,high,high,high,low,low,low,low,medium,medium,high,high,high,high,high,high,medium,high,high,high,medium,high,low,low,low,low,medium,medium,high,high,medium,high,high,high,high,high,medium,low,low,low,high,high,high,high,medium,low,low,low,low,low,low,low,low,low,low,low,medium,medium,low,low,high,low,low,medium,low,low,high,medium,high,medium,medium,high,medium,medium,medium,high,high,medium,high,low,low,high,low,low,low,medium
2581,high,medium,medium,medium,medium,low,low,medium,medium,low,low,medium,high,low,high,low,high,high,high,high,high,high,high,high,high,high,high,high,high,high,medium,high,high,high,medium,high,low,low,low,low,medium,medium,medium,medium,medium,medium,high,high,high,high,medium,low,low,high,low,low,low,low,low,medium,high,high,high,high,high,high,high,high,medium,medium,low,low,high,high,medium,medium,low,high,low,low,high,low,high,low,medium,medium,low,medium,high,medium,medium,medium,medium,medium,low,low,low,low,low,medium
2582,high,high,high,medium,high,medium,high,high,high,medium,high,high,high,medium,low,high,low,low,low,low,low,low,low,low,medium,low,low,low,low,medium,low,medium,low,low,medium,medium,medium,medium,medium,high,medium,high,medium,medium,medium,medium,medium,medium,high,high,low,low,low,low,medium,high,high,medium,low,low,low,low,medium,medium,low,high,low,low,high,high,medium,medium,low,low,high,medium,low,high,low,low,high,high,high,high,high,high,high,high,high,high,high,high,high,low,low,high,low,low,low,medium
2583,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,low,low,low,medium,medium,high,high,medium,medium,high,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,low,low,medium,high,medium,high,medium,low,low,low,low,high,high,medium,high,low,low,high,high,medium,medium,low,low,high,low,low,high,low,low,medium,high,medium,high,high,high,high,high,high,high,high,high,high,low,low,medium,low,low,low,medium
2584,medium,medium,medium,medium,high,medium,medium,high,medium,medium,medium,medium,high,low,medium,low,low,low,medium,medium,medium,medium,medium,low,medium,medium,low,low,low,medium,medium,medium,medium,medium,high,high,high,high,medium,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,low,medium,medium,high,high,high,high,high,medium,high,high,low,high,high,low,medium,medium,medium,high,medium,medium,high,high,high,high,high,high,high,high,high,high,high,high,high,medium,high,high,high,high,high,high,medium,low,low,low,medium
2585,medium,medium,high,high,medium,medium,high,low,high,medium,high,medium,medium,high,medium,high,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,low,low,low,low,medium,medium,high,high,high,high,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,high,medium,medium,medium,high,high,high,medium,low,low,low,low,high,high,medium,high,low,low,high,high,medium,medium,low,low,high,medium,low,medium,medium,medium,high,medium,high,medium,high,high,high,high,medium,high,medium,high,high,low,low,high,low,medium,medium,medium
2586,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,low,low,medium,low,high,high,high,high,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,medium,medium,low,low,low,low,low,low,low,low,low,low,medium,high,medium,low,high,high,high,high,high,low,low,low,low,low,low,low,low,low,medium,low,low,low,high,high,low,medium,high,low,high,high,low,low,low,low,low,low,low,low,low,low,low,low,low,high,high,medium,high,high,high,low
2587,low,high,low,high,high,medium,high,high,low,high,medium,high,high,low,high,medium,low,low,low,low,low,medium,medium,low,low,low,low,low,low,low,low,low,low,low,high,high,high,high,high,high,high,high,high,high,high,high,high,medium,medium,medium,high,high,high,low,high,high,high,high,high,medium,low,medium,high,medium,low,low,medium,low,high,high,medium,medium,low,low,high,high,high,medium,high,high,high,medium,high,medium,high,high,high,high,low,high,high,high,high,high,high,medium,high,medium,medium,low
2588,low,low,low,low,low,low,medium,low,low,low,medium,low,low,low,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,high,medium,medium,medium,medium,medium,medium,medium,low,low,high,high,medium,high,high,high,high,high,high,high,high,high,high,high,high,high,low,low,low,high,low,low,low,low,low,low,low,medium,low,medium,high,low,medium,medium,low,medium,low,low,high,high,high,high,low,low,low,high,high,medium,high,low,medium,medium,high,medium,low,medium,medium,medium,medium,low,high,medium,medium,medium,high,low
2589,medium,high,low,high,low,low,high,medium,medium,low,high,medium,medium,medium,medium,low,medium,low,high,high,high,high,medium,low,medium,low,low,low,low,low,medium,low,low,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,low,medium,low,high,medium,low,low,medium,low,high,high,high,medium,low,low,low,low,medium,low,low,low,low,low,high,high,medium,medium,high,medium,high,low,low,low,high,high,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,high,low,medium,medium,medium
2590,high,medium,high,medium,medium,medium,medium,high,high,high,medium,medium,low,high,high,low,low,low,high,high,high,high,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium,low,high,high,medium,low,low,medium,high,high,high,high,high,high,high,low,medium,medium,high,high,low,low,high,high,medium,medium,medium,high,high,medium,medium,low,medium,low,low,low,low,low,high,low,low,low,low,medium,low,medium,medium,low,low,low
2591,high,high,high,medium,medium,high,medium,medium,medium,medium,low,high,medium,high,medium,low,medium,medium,high,high,high,high,medium,low,low,low,medium,medium,medium,high,low,low,high,high,medium,medium,low,medium,medium,medium,medium,medium,medium,low,low,medium,medium,low,medium,medium,low,medium,high,medium,medium,medium,low,low,high,medium,high,high,medium,low,medium,low,high,high,medium,low,low,low,medium,high,medium,medium,high,medium,high,high,low,medium,low,medium,low,low,low,low,high,low,low,low,low,high,low,low,low,medium,medium,medium
2592,high,high,low,high,medium,low,high,high,medium,low,high,medium,medium,low,low,high,medium,medium,low,low,low,low,high,medium,medium,high,high,high,medium,high,high,high,high,high,low,medium,low,low,low,low,medium,low,low,medium,low,medium,medium,medium,high,medium,low,low,low,medium,high,high,medium,low,low,low,low,low,high,medium,medium,high,medium,medium,high,high,medium,medium,low,low,medium,low,low,high,low,low,low,medium,low,medium,medium,low,medium,medium,high,medium,medium,medium,medium,low,low,high,low,medium,medium,medium
2593,low,low,medium,low,medium,high,low,medium,low,medium,low,medium,high,medium,medium,low,low,low,high,medium,medium,medium,low,medium,medium,low,low,low,low,medium,low,medium,low,low,medium,low,medium,medium,medium,medium,medium,medium,medium,low,low,low,low,low,low,low,low,medium,medium,low,high,high,high,medium,low,medium,low,low,low,low,low,medium,low,medium,medium,low,medium,medium,high,high,low,medium,high,medium,medium,medium,high,low,high,low,medium,medium,medium,medium,low,medium,medium,medium,medium,high,high,low,low,high,medium,medium
2594,high,high,high,high,medium,high,high,high,high,high,high,high,medium,high,high,low,low,low,medium,medium,medium,low,low,low,low,low,low,low,low,medium,low,low,medium,medium,high,medium,high,high,high,high,high,high,high,high,high,medium,medium,low,low,medium,low,low,high,high,medium,medium,high,high,low,medium,medium,medium,high,high,high,low,low,low,high,high,low,low,high,high,high,high,high,high,medium,low,low,high,low,high,medium,medium,medium,medium,high,medium,medium,medium,medium,high,low,medium,low,medium,medium,medium
2595,high,medium,medium,medium,medium,low,medium,low,high,low,medium,low,high,high,low,medium,medium,medium,low,low,low,medium,high,medium,medium,medium,medium,medium,medium,low,medium,medium,low,medium,medium,medium,medium,high,medium,medium,medium,low,medium,medium,high,medium,medium,medium,medium,medium,high,high,medium,high,low,low,low,low,low,medium,high,high,medium,medium,high,high,high,high,low,low,medium,medium,low,low,high,low,low,medium,medium,medium,medium,high,medium,high,medium,medium,medium,medium,high,medium,medium,medium,medium,low,medium,high,low,medium,medium,medium
2596,high,high,medium,high,low,low,high,medium,medium,medium,medium,medium,low,medium,medium,low,high,medium,medium,medium,high,high,high,high,high,high,medium,medium,medium,low,high,high,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,low,low,low,low,low,low,high,high,medium,medium,high,low,low,low,low,low,low,low,medium,medium,low,low,low,low,low,low,low,low,low,low,medium,high,low,low,low,low,low,low,low,low,medium,low,low,low,low,low,high,high,high,high,high,low
2597,high,high,high,high,high,high,high,medium,high,medium,high,medium,high,high,medium,low,low,low,high,high,high,medium,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,high,medium,medium,medium,high,high,medium,medium,medium,low,medium,low,high,high,low,low,high,high,medium,medium,medium,low,low,low,medium,medium,high,high,high,high,medium,medium,high,high,low,low,medium,high,medium,high,high,high,medium,low,medium,medium,medium,medium,medium,medium,low,medium,high,low,medium,low,low,high,low,medium,low,low,low,medium
2598,low,medium,low,medium,medium,low,medium,low,low,low,medium,medium,medium,low,low,high,medium,medium,low,low,low,low,low,high,high,high,medium,medium,medium,high,low,high,low,low,low,low,medium,low,low,low,low,low,low,low,low,low,low,medium,low,low,medium,low,medium,low,high,high,high,high,medium,low,low,low,low,low,low,medium,low,low,high,high,medium,medium,low,low,low,low,low,low,medium,medium,medium,low,medium,low,low,low,low,low,low,low,low,low,low,low,high,high,low,low,low,high
2599,medium,medium,low,medium,high,low,low,medium,medium,low,low,medium,medium,high,low,high,medium,medium,low,low,low,high,medium,medium,medium,medium,low,low,medium,low,medium,medium,low,low,medium,medium,high,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,high,medium,medium,medium,high,low,medium,medium,high,medium,high,medium,medium,medium,medium,medium,low,low,medium,medium,medium,medium,medium,medium,low,low,low,high,high,medium,high,medium,high,medium,high,medium,medium,high,medium,medium,medium,medium,high,medium,medium,high,high,low,low,low,low,medium
2600,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,low,low,low,high,medium,medium,low,low,low,low,low,low,low,low,low,low,low,medium,medium,high,high,high,high,high,high,high,high,high,high,high,high,high,low,high,high,medium,medium,high,high,low,low,low,low,high,high,high,high,medium,medium,high,high,high,high,low,low,low,low,medium,high,high,high,low,high,low,low,high,high,high,high,high,high,high,high,high,high,high,high,high,low,low,medium,low,low,low,high
2601,high,high,high,high,high,medium,high,high,high,high,high,medium,medium,medium,high,low,low,low,medium,high,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,medium,low,high,high,high,high,medium,medium,medium,low,low,low,low,low,low,low,low,low,medium,medium,high,high,high,high,medium,low,low,low,high,medium,medium,medium,low,low,high,high,medium,medium,high,high,high,medium,low,high,medium,medium,medium,high,medium,high,high,high,medium,high,high,medium,medium,medium,medium,medium,medium,medium,low,low,low,medium
2602,low,low,low,low,medium,low,low,medium,medium,low,low,low,medium,low,low,low,high,high,high,high,high,high,high,high,high,high,high,high,high,medium,high,high,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,low,low,high,high,high,medium,medium,medium,low,high,high,high,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,low,high,high,low,low,medium,high,medium,medium,medium,low,medium,low,low,low,low,low,low,low,low,low,low,medium,high,low,medium,high,high,low
2603,low,low,low,low,medium,low,low,medium,medium,low,low,low,high,medium,low,low,high,medium,high,high,high,high,high,medium,high,medium,medium,medium,medium,medium,high,medium,medium,medium,low,low,medium,medium,low,medium,low,low,low,low,low,medium,low,medium,low,low,medium,high,low,medium,medium,medium,medium,low,low,low,low,medium,high,high,medium,high,medium,medium,high,high,medium,medium,high,medium,medium,low,medium,medium,low,medium,high,low,high,low,low,low,low,low,low,medium,medium,low,low,low,medium,high,medium,high,high,low
2604,medium,low,medium,low,medium,low,low,medium,medium,low,low,high,high,medium,low,low,high,high,high,high,high,high,high,high,high,high,high,high,high,medium,high,high,high,high,low,low,low,low,medium,medium,low,low,low,low,low,low,low,medium,medium,medium,low,low,medium,high,low,low,low,medium,low,medium,high,high,medium,medium,high,high,high,high,medium,medium,low,low,high,high,medium,low,medium,high,low,low,medium,medium,medium,medium,low,medium,low,low,medium,medium,medium,low,medium,medium,medium,high,low,medium,medium,medium
2605,low,medium,low,high,medium,medium,high,medium,low,high,high,medium,high,low,high,high,low,low,low,low,low,low,medium,low,low,low,low,low,low,medium,medium,medium,low,low,medium,medium,high,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,low,low,high,high,high,medium,medium,high,high,high,low,medium,medium,low,high,high,medium,low,medium,medium,high,high,medium,medium,low,low,medium,medium,low,low,high,high,high,medium,high,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,low,high,medium,medium,high,high,low
2606,low,low,low,low,low,low,low,low,medium,low,low,low,medium,medium,low,low,medium,medium,medium,high,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,low,low,medium,high,medium,medium,medium,medium,medium,high,high,medium,medium,medium,high,medium,high,high,medium,low,low,low,medium,medium,medium,medium,low,low,low,low,low,low,low,low,low,low,low,medium,medium,medium,high,high,medium,high,high,low,low,medium,medium,medium,medium,medium,low,medium,medium,low,low,medium,medium,low,medium,medium,high,medium,high,high,high,low
2607,low,low,medium,low,medium,low,medium,low,medium,low,medium,low,medium,medium,low,low,high,high,medium,high,high,high,high,high,high,high,high,high,high,high,medium,medium,high,high,low,high,low,low,low,low,low,medium,medium,medium,high,high,high,high,medium,high,high,high,medium,high,low,low,low,low,high,high,high,high,high,high,high,high,medium,high,medium,medium,low,low,high,high,low,medium,high,low,medium,high,medium,low,medium,low,low,low,low,low,low,low,low,low,low,high,low,high,medium,high,medium,low
2608,medium,low,high,low,high,high,low,medium,high,high,low,low,medium,high,high,low,medium,high,medium,high,high,medium,medium,medium,high,medium,high,high,high,high,medium,medium,high,high,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,medium,medium,medium,medium,low,high,medium,medium,high,high,medium,medium,medium,medium,low,low,medium,low,low,medium,medium,low,low,medium,high,low,medium,high,medium,high,high,medium,low,medium,low,low,low,low,low,medium,low,low,low,low,high,medium,low,low,low,low,medium
2609,low,low,medium,low,low,low,low,low,medium,low,low,low,medium,low,low,low,high,medium,high,high,high,high,high,high,high,medium,medium,medium,medium,low,high,high,medium,high,low,low,medium,medium,medium,medium,low,low,low,low,low,low,low,low,low,low,high,high,medium,medium,medium,medium,medium,low,low,medium,medium,medium,high,medium,medium,high,high,high,high,high,low,low,high,high,medium,low,low,medium,low,low,medium,low,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,high,high,low
2610,low,low,high,low,low,high,low,medium,low,high,low,medium,low,high,high,high,high,high,low,low,low,low,low,high,medium,high,high,high,high,high,low,high,high,high,medium,high,low,low,low,low,low,high,high,high,high,high,high,high,high,high,high,low,high,low,high,high,high,high,medium,medium,medium,low,low,low,low,low,low,low,low,low,medium,medium,low,low,low,high,high,low,high,high,low,medium,low,medium,medium,low,medium,medium,low,medium,low,high,medium,high,high,low,medium,high,high,low
2611,low,low,low,medium,low,low,medium,low,low,low,medium,medium,low,low,low,high,high,high,low,low,low,low,high,high,high,high,high,high,high,high,high,high,high,medium,low,medium,low,low,medium,medium,low,low,medium,medium,medium,high,medium,high,medium,medium,high,high,low,high,low,medium,low,low,medium,high,high,high,medium,high,high,high,high,high,low,medium,medium,medium,low,low,medium,low,low,medium,medium,medium,low,medium,low,medium,low,low,medium,medium,low,low,low,low,low,medium,medium,high,high,high,high,low
2612,low,medium,high,medium,low,high,medium,low,high,high,medium,low,medium,high,high,low,medium,medium,high,high,high,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,high,medium,medium,medium,medium,medium,high,high,high,high,high,high,medium,high,high,medium,medium,medium,high,low,low,low,low,high,high,high,high,high,high,high,high,high,high,low,medium,low,low,medium,high,high,medium,low,medium,medium,medium,high,low,high,low,medium,medium,medium,medium,low,medium,low,low,medium,low,low,medium,high,high,high,low
2613,low,low,low,low,low,low,low,low,low,medium,low,low,medium,low,low,low,high,medium,high,high,high,high,high,high,high,high,medium,medium,medium,low,high,high,low,low,low,low,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,high,low,low,high,high,high,high,low,low,low,low,low,low,low,medium,low,low,medium,medium,medium,medium,high,high,low,low,medium,low,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,high,low,high,high,medium
2614,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium,medium,high,low,medium,medium,high,high,high,high,high,medium,high,medium,medium,medium,medium,low,medium,medium,low,low,low,low,low,medium,medium,low,low,low,low,low,low,medium,low,medium,low,low,high,high,high,high,medium,low,low,medium,high,high,high,high,high,high,high,medium,medium,medium,high,medium,medium,medium,high,high,low,low,medium,medium,high,medium,medium,low,medium,low,low,medium,low,low,medium,low,low,low,low,medium,high,low,low,medium,medium,medium
2615,low,low,medium,low,low,low,medium,low,medium,low,medium,low,low,medium,low,medium,high,high,low,low,low,high,high,high,high,high,high,high,high,medium,high,high,medium,high,low,medium,medium,low,low,low,low,low,low,medium,medium,medium,medium,high,low,low,high,high,low,medium,medium,low,low,low,medium,high,high,medium,low,low,medium,high,high,high,low,low,medium,medium,low,low,medium,low,low,medium,low,low,medium,low,medium,low,low,medium,low,low,low,low,low,low,low,low,medium,high,low,medium,medium,medium
2616,medium,low,low,low,low,low,low,low,low,low,medium,low,low,low,low,medium,high,high,low,low,high,high,high,high,high,high,high,high,high,low,high,high,medium,medium,low,medium,low,low,low,low,low,low,low,low,medium,medium,medium,high,medium,low,high,high,low,medium,medium,medium,medium,low,medium,medium,medium,medium,medium,medium,medium,high,medium,medium,medium,medium,medium,medium,low,low,medium,low,low,low,medium,medium,low,medium,low,medium,low,low,low,low,medium,low,low,low,low,low,high,high,high,high,high,low
2617,high,high,high,medium,high,medium,medium,high,high,low,medium,medium,high,medium,low,low,medium,high,high,high,high,medium,medium,medium,medium,medium,high,high,high,high,medium,medium,high,high,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,high,medium,low,medium,high,high,low,low,low,low,high,high,high,high,high,high,high,low,high,high,high,medium,low,low,high,high,high,medium,low,high,high,low,low,medium,low,medium,medium,low,low,medium,high,medium,medium,low,medium,low,medium,high,low,low,low,medium
2618,high,high,high,medium,medium,high,medium,high,medium,high,medium,medium,high,high,high,low,low,low,high,high,high,medium,low,low,low,low,low,low,low,low,low,low,medium,medium,high,medium,high,high,high,high,high,high,high,high,high,medium,medium,low,low,low,high,medium,high,high,medium,low,low,low,high,high,high,high,high,high,high,low,medium,high,high,high,low,low,medium,high,high,high,high,high,high,low,medium,medium,medium,medium,medium,medium,low,medium,high,medium,medium,medium,medium,high,low,medium,low,medium,medium,medium
2619,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,high,high,high,low,low,low,low,high,high,high,high,high,high,high,high,high,high,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,high,low,low,high,high,low,medium,low,low,medium,medium,medium,medium,medium,low,medium,medium,medium,high,medium,medium,low,medium,medium,medium,low,low,low,low,low,low,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,medium,medium,high,high,high,low
2620,low,low,medium,low,low,medium,low,low,low,high,low,low,low,low,high,high,high,high,low,low,low,low,high,high,high,high,high,high,high,medium,high,high,low,low,low,medium,low,low,low,low,low,low,low,low,low,medium,medium,high,low,low,high,high,medium,low,high,high,high,high,medium,low,medium,low,low,low,low,medium,low,low,medium,low,medium,medium,low,low,low,low,high,low,high,high,low,low,low,low,low,low,low,low,low,low,low,low,low,high,high,low,low,low,low,medium
2621,low,high,low,high,low,high,high,high,low,high,high,high,low,low,high,low,low,low,medium,high,high,medium,low,low,low,low,low,low,low,low,low,low,low,low,high,high,high,high,high,high,high,high,high,high,high,high,high,medium,medium,medium,high,high,high,medium,high,medium,medium,medium,high,high,high,high,medium,low,medium,low,high,high,medium,low,low,low,high,high,high,high,high,low,high,high,high,medium,high,medium,medium,high,high,medium,low,high,high,high,medium,high,high,medium,high,high,high,low
2622,low,low,low,low,high,low,medium,low,medium,low,high,low,medium,low,low,medium,high,high,low,low,low,high,high,high,high,high,high,high,high,medium,high,high,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,high,low,low,low,medium,high,high,high,high,medium,medium,high,high,high,high,low,low,medium,medium,low,low,medium,medium,low,medium,low,low,medium,medium,medium,medium,medium,medium,medium,low,low,medium,medium,low,medium,low,low,high,low,medium,medium,medium
2623,low,low,low,low,low,low,medium,low,low,low,medium,low,low,low,low,high,high,high,low,low,low,medium,high,high,high,high,high,high,high,medium,high,high,medium,medium,low,low,medium,low,low,low,low,low,low,low,low,low,low,high,medium,low,high,high,low,high,low,low,low,low,medium,medium,high,high,high,high,high,high,high,high,medium,medium,medium,medium,low,low,low,low,low,medium,low,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,high,high,high,high,low
2624,low,medium,low,medium,low,low,high,low,low,low,high,medium,low,low,low,medium,high,high,low,low,low,high,high,high,high,high,high,high,high,high,high,high,high,high,low,medium,low,low,low,low,low,medium,medium,medium,medium,medium,medium,high,high,high,medium,low,low,medium,low,low,low,medium,high,high,medium,medium,low,medium,medium,high,high,high,low,low,medium,medium,low,low,medium,low,low,low,high,high,low,medium,low,medium,low,low,medium,low,low,low,low,medium,low,low,high,high,medium,low,low,low
2625,low,low,medium,low,low,medium,low,low,medium,medium,medium,low,low,medium,high,low,high,high,medium,high,high,high,high,high,high,high,medium,medium,high,medium,high,high,medium,medium,medium,high,low,low,low,low,medium,medium,medium,high,high,high,high,high,high,high,high,high,high,medium,medium,low,medium,medium,low,high,high,high,low,low,medium,low,medium,high,medium,low,low,low,high,high,low,high,high,low,high,high,high,low,high,low,low,low,medium,low,low,low,low,medium,low,high,high,low,low,low,low,medium
2626,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,high,high,low,low,low,high,high,high,high,high,high,high,high,high,high,high,medium,medium,low,medium,low,low,low,low,low,low,medium,medium,medium,medium,medium,high,high,high,medium,medium,low,high,low,low,low,low,medium,high,high,high,high,high,high,high,high,high,medium,medium,medium,medium,low,low,medium,low,low,medium,medium,medium,medium,low,medium,low,low,medium,medium,low,low,low,low,low,low,low,medium,high,medium,high,high,low
2627,low,medium,low,low,medium,low,low,medium,low,low,medium,low,low,low,low,low,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,medium,high,low,low,low,low,medium,medium,medium,medium,medium,high,high,high,high,high,medium,low,medium,high,low,low,low,medium,high,high,high,high,high,high,high,high,high,high,medium,medium,medium,medium,medium,medium,medium,medium,low,high,low,low,low,medium,low,medium,medium,low,medium,medium,low,medium,medium,medium,medium,low,high,medium,low,low,low,medium
2628,low,low,medium,low,medium,low,low,low,low,low,low,low,medium,low,low,medium,high,high,low,low,low,medium,high,high,high,high,high,high,high,low,high,high,low,low,low,medium,low,low,low,low,low,low,low,low,low,medium,medium,high,medium,medium,medium,low,medium,low,medium,medium,medium,high,medium,high,medium,medium,low,low,low,medium,medium,medium,low,low,medium,medium,low,low,low,low,high,medium,medium,medium,low,medium,low,medium,low,low,low,low,low,medium,medium,low,low,high,high,low,high,high,high,low
2629,low,high,high,medium,low,high,medium,medium,high,high,medium,medium,low,medium,high,low,medium,low,high,high,high,high,medium,medium,low,low,low,low,low,low,low,low,low,low,high,medium,high,high,high,high,high,high,high,medium,medium,medium,medium,low,medium,medium,medium,medium,low,high,low,low,low,low,high,high,high,high,medium,high,high,high,high,high,low,medium,low,low,medium,medium,high,medium,low,low,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,low,medium,medium,low,high,high,medium
2630,high,medium,high,low,medium,high,low,medium,high,high,low,medium,medium,high,high,low,medium,high,high,medium,medium,medium,low,low,high,medium,high,high,high,high,low,low,high,high,high,high,low,medium,medium,high,high,high,high,high,high,high,high,high,high,high,low,low,high,high,low,low,low,low,high,high,high,high,high,high,high,low,high,high,high,high,low,low,high,high,medium,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,medium,low,low,low,low,medium
2631,low,low,low,medium,medium,low,medium,low,low,low,medium,low,high,low,low,low,high,medium,high,high,high,high,high,high,high,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,low,medium,high,medium,high,low,low,low,medium,high,medium,high,medium,medium,high,high,medium,low,medium,medium,medium,low,low,low,low,medium,medium,medium,high,low,low,medium,low,medium,low,low,low,medium,low,low,medium,medium,low,low,low,medium,high,medium,medium,medium,low
2632,medium,low,medium,low,medium,medium,low,low,low,medium,low,low,low,low,medium,medium,high,high,low,high,high,high,high,high,high,high,high,high,high,medium,high,high,high,high,medium,high,medium,medium,low,medium,medium,medium,medium,medium,high,high,high,medium,high,high,medium,medium,medium,high,low,low,low,low,medium,high,high,high,high,high,high,high,high,high,medium,medium,medium,medium,low,low,medium,high,high,medium,high,high,low,high,low,high,high,medium,high,high,medium,high,high,high,high,high,medium,low,low,medium,medium,medium
2633,low,low,low,low,low,low,low,low,low,medium,low,low,low,low,high,high,high,high,low,low,low,high,high,high,high,high,high,high,high,medium,high,high,medium,medium,low,medium,low,low,low,low,low,low,low,low,low,medium,medium,high,low,low,high,medium,low,medium,low,low,low,low,medium,medium,medium,high,low,medium,medium,low,high,high,low,low,medium,medium,low,low,low,low,medium,low,high,high,low,low,low,low,low,low,low,low,low,low,low,low,low,medium,high,low,medium,high,high,low
